price_change,volume,trend,momentum,expected
2.4169232233734537,5287,neutral,1.6313236663439872,buy
2.1196727922957357,1135,up,5.668065687613848,buy
1.413984145690394,2819,down,10.014565143537062,sell
1.2410246700906753,2547,down,9.41701018594126,sell
-2.3163636508232175,4810,neutral,2.747223719819792,sell
0.9048733427927712,2260,neutral,0.7688839916771121,buy
0.8812583422897239,2924,neutral,0.41240106450883585,buy
1.5144260551264446,5346,neutral,1.497123397031745,buy
1.9491260527898935,2610,down,9.62509603011155,sell
1.3718058664093793,3483,down,2.374936705379312,sell
2.4201300475932657,2999,down,1.325821699574448,sell
-1.890854956014953,4759,neutral,2.926365562737136,sell
-3.550438925385576,2043,up,5.650986400735246,buy
2.8011008181599863,2882,down,1.978278943244327,sell
1.3130000602210576,2916,neutral,1.0710011950979599,buy
1.7878387771482678,2774,down,2.5414243600097075,sell
4.043631509970604,3096,up,9.09323108975353,buy
1.5972179449595387,4983,neutral,1.4449355877271275,buy
3.2150510023816885,3022,up,9.145994715396021,buy
-3.2208839980585875,2342,up,5.818269402771053,buy
2.18573419048403,2615,down,1.3609554434608837,sell
1.4841605739381127,5331,neutral,1.5784545180978524,buy
3.5399261126677493,3378,up,9.481099811517515,buy
2.11032224562025,649,up,4.995108629123754,buy
2.3465740047375525,3017,down,1.723641935376489,sell
1.9146746644472319,2644,down,9.15242097065829,sell
1.2975778820149206,2623,neutral,1.3063461287484945,buy
2.460543272775843,2567,down,1.7034348491430777,sell
-3.921032042153657,1597,up,6.1932789363439475,buy
-2.8661035617417583,4679,neutral,2.930441967547737,sell
1.7722576422284855,598,up,5.274697436719378,buy
2.7746288726569617,2973,down,1.0165925536979512,sell
-2.2380808961546808,4749,neutral,2.700551949694017,sell
1.242470443466732,2787,down,9.353375652776752,sell
2.1871099864097703,2319,down,9.863774414563165,sell
1.0279415996730739,2708,neutral,0.8109487495698181,buy
1.0215379538360922,2635,neutral,0.9577030376101673,buy
1.2017222909819416,2885,down,2.862477318041835,sell
1.4960094608754755,4726,neutral,1.9010738268409213,buy
-3.744656807238681,2046,up,6.276118286151913,buy
1.8061368561271207,3089,down,2.247017773279565,sell
1.7101962730088456,3217,down,9.850910494844786,sell
4.077846788330064,3375,up,9.158615048811791,buy
-2.722277260009288,4617,neutral,2.7832056182120413,sell
3.9568406467283417,2914,up,9.918139001400002,buy
1.0679591844060243,2108,neutral,1.1749705098979715,buy
0.6936135300249961,3004,neutral,0.474826341334461,buy
3.2773041412491417,3439,up,9.405774620878061,buy
-3.1255134390409864,1857,up,5.955542219843462,buy
-1.9830208009985983,4443,neutral,2.720127445721271,sell
2.126391583267519,2694,down,9.797849047020517,sell
4.078129597698169,3165,up,9.335082673632574,buy
2.160428204666542,466,up,5.204561177659355,buy
3.4274844477367252,2724,up,9.19617161002839,buy
2.9052702830274475,2906,down,1.5109048387809798,sell
2.156330758730827,1055,up,5.52557797963883,buy
-2.5519270721603196,4287,neutral,2.5750846541269365,sell
-2.3520665566113617,5012,neutral,2.6766451967643987,sell
-2.878374628315898,4442,neutral,3.215255955290552,sell
3.545894833989344,2835,up,9.21029637926076,buy
-3.9024825437390867,1721,up,6.344606128871835,buy
-3.34414467830159,1846,up,5.591350750963776,buy
1.223389361171507,2646,neutral,0.47315166147987553,buy
-2.3586262391081645,4285,neutral,2.699983535562519,sell
-2.801293778624988,4895,neutral,2.720676608691053,sell
2.6135828682306546,2526,down,1.4893138009083873,sell
-2.400477867106578,4674,neutral,2.764880433498412,sell
2.5603817955666486,2700,down,1.498429926701986,sell
2.4805422104673878,681,up,5.611038047526664,buy
1.2903287715904417,2848,down,3.1533523850663374,sell
1.7374730307130577,2764,down,9.597900279037214,sell
3.5380806688811717,2848,up,9.702339085747152,buy
2.6650924723522036,3085,down,1.2168963981031786,sell
-3.9242615825574996,1676,up,6.211371225200727,buy
3.8831841343316267,3433,up,9.056384912665425,buy
-2.229879310031944,4725,neutral,3.223370713323317,sell
1.3705347284900333,3135,down,2.968094353406063,sell
3.597819487355537,3388,up,9.702865368836436,buy
1.9446798487387669,3205,down,9.260880486618523,sell
3.0475076764505107,2194,down,1.986962844327008,sell
-2.1648885466955075,4318,neutral,3.239954554512955,sell
-3.9509482051994245,2222,up,6.185273459877928,buy
1.7529872951873817,2925,down,9.248214394291972,sell
2.1250173366852945,4487,neutral,1.7557102679128165,buy
3.0125657971018702,2870,down,1.6925768032172233,sell
1.0556817695699108,2483,neutral,0.9375309344945176,buy
2.03863181608242,4780,neutral,1.0552186733740272,buy
-1.9636663583912788,4366,neutral,2.7018670533944467,sell
1.9160024748622315,1156,up,5.726605906956772,buy
-3.359549293124716,1936,up,5.883317369749602,buy
1.3995863878285975,3572,down,2.6213853229437847,sell
1.6742705152846267,3155,down,9.087089171510119,sell
1.0876433502129577,2794,neutral,1.0934794051523526,buy
-4.04046474678052,1988,up,5.990131298209222,buy
-3.5834862432619223,2406,up,6.027125892864418,buy
2.2142615155961307,2812,down,1.7375362241940775,sell
-2.4957081562628156,5127,neutral,2.811718804388811,sell
1.577310919314159,2886,down,2.5878439111553866,sell
-2.5754715978526797,4206,neutral,2.939190380051715,sell
3.351514790589853,3192,up,9.600536330992712,buy
3.9540084948728165,2615,up,9.69224255321332,buy
2.77798241463038,2425,down,1.5332986219815719,sell
-2.704535797984793,4656,neutral,2.9736202541193957,sell
1.4811478154288658,3152,down,9.705209163899536,sell
1.8984417948107026,1192,up,5.316815104544885,buy
0.7244944956875005,2338,neutral,0.7026910465731774,buy
2.1342673602492286,4672,neutral,1.0881547777886396,buy
-2.3089777045333983,4281,neutral,3.0812239069334,sell
-2.835063101217101,4700,neutral,2.6718948860796443,sell
1.2744170246478883,2928,down,3.0649123434592753,sell
-4.040107533488725,2049,up,6.533008155221457,buy
2.265704621449519,1397,up,4.9000775374160535,buy
2.4213930094160134,2745,down,1.1631897543628225,sell
0.9302861895334804,2094,neutral,1.07300954511398,buy
2.3264011381015797,4987,neutral,1.8868675063699736,buy
-3.177867044978648,2104,up,6.5622745406557526,buy
2.996845364619102,2922,down,1.615476242684495,sell
1.3375014107041094,3228,down,9.28117938301956,sell
2.883693250992334,2857,down,1.7389331150762386,sell
1.8974323053207645,2865,down,2.4389247031581522,sell
3.1186099268848384,3156,down,1.696720718786588,sell
1.2350067140781367,2202,neutral,0.6890309227372919,buy
3.3488719384555945,2811,up,9.250157722326312,buy
1.8353276725113985,4670,neutral,1.3301746885159988,buy
-3.3724114692141822,1840,up,5.930592110481729,buy
1.8141306853394554,644,up,5.604700741767211,buy
2.7932325613828777,3090,down,1.0955332244804692,sell
2.914233760901391,2341,down,1.3746803894833868,sell
2.3730529152282864,4978,neutral,1.044415289170999,buy
-3.5791152153305266,1661,up,5.929276285210227,buy
1.5856446037474803,5132,neutral,1.9978745983273052,buy
1.5375540425660914,3484,down,3.1028204080115813,sell
2.3132992355192945,701,up,5.544076842079439,buy
1.478778414402723,2502,neutral,1.21992635588616,buy
1.6034976541521182,3051,down,2.673380778542315,sell
1.64418629536982,2767,down,2.2888109876263156,sell
1.5324259429612694,3173,down,2.7925398355094226,sell
1.7474927291955829,2434,down,10.0350415434058,sell
1.6051738853360145,2649,down,2.597239552002862,sell
-2.5411241308907515,4497,neutral,3.271986068628528,sell
1.1106568799487406,3211,down,2.8056485624888854,sell
1.6760956229994686,3154,down,9.222490909084287,sell
-3.173769799060035,2043,up,6.1926698399350935,buy
2.1271617815238,2652,down,9.26522622941641,sell
-3.8889279876595193,2295,up,5.772410275633782,buy
1.1064821106161906,3155,down,3.203902201391135,sell
2.1353066362419155,3124,down,9.973850625442374,sell
1.236169665896531,2776,neutral,0.6798086081655365,buy
2.156479431239465,683,up,4.864234029530803,buy
-3.13076624919956,2462,up,6.325038016708425,buy
0.7229999440483936,3047,neutral,0.45686713892652697,buy
2.455455659323123,4630,neutral,1.2246183323731952,buy
1.383326748961813,2322,neutral,1.0740260097736618,buy
2.714066249443935,2345,down,1.1396721057012857,sell
2.607947365841446,990,up,5.2098297476644975,buy
2.050541266291966,2460,down,9.354302486604443,sell
-2.2586358697147046,4704,neutral,2.9820746841426624,sell
1.2451829952636442,2264,neutral,0.5190563835505045,buy
1.358905649054963,3217,down,9.621973502336902,sell
2.9675967993754377,2696,down,1.7007254027478378,sell
-3.668287698459817,2401,up,5.732334934717053,buy
2.1868816826839543,4961,neutral,1.8316256671489122,buy
-3.4333113754182127,2120,up,6.074579305171753,buy
1.333134214487821,2727,down,3.1311223938662613,sell
3.137053214569688,2211,down,1.7045943540948127,sell
1.0956829824361227,2990,neutral,0.8201949277549603,buy
2.2405515682425583,983,up,5.050162415128209,buy
-2.1059083242512813,5149,neutral,2.4504260770294777,sell
1.9189385172025555,5149,neutral,1.3408968734560174,buy
-2.801913888664301,5124,neutral,3.208406425159308,sell
2.7295400224988176,2798,down,1.3094274095468017,sell
2.2040339636510087,458,up,5.211900755210984,buy
3.8650782719352943,2901,up,9.892610243270711,buy
1.594033199238864,5347,neutral,1.7369435095358625,buy
-3.3875673648690645,2470,up,6.079785048146581,buy
1.5291731285955836,2746,down,9.388226973603437,sell
0.82372342980832,2153,neutral,0.5270722733147791,buy
2.1330010207422876,4430,neutral,1.6329005410448625,buy
2.757694163140753,2695,down,1.482757565611035,sell
1.5001941842788735,4799,neutral,1.736269807068818,buy
3.7293205187294207,3282,up,9.970592412691206,buy
2.442693625953213,2341,down,1.3232885968839203,sell
3.0519147507667217,2248,down,1.0729023045856008,sell
2.1506419803062014,5170,neutral,1.5397807612318124,buy
2.035616041767706,502,up,5.728402748114387,buy
-2.3648905419809463,4873,neutral,2.695850873249501,sell
1.8618901002843562,1372,up,5.294615127651314,buy
2.105578401551053,2620,down,9.406991233754734,sell
2.7904372263585384,2634,down,1.670526033338431,sell
1.4554712884181007,3058,neutral,0.6713948478394421,buy
2.0284059201545066,2864,down,9.152873806842337,sell
1.0406155521264746,3035,neutral,0.7853698785936599,buy
2.425204921968077,2749,down,1.8020264226028693,sell
3.9987616361917926,3548,up,9.46902328174065,buy
3.2354944522847155,2915,up,9.459206523875395,buy
2.591195841933473,2500,down,1.6678410127789611,sell
2.409641006325388,2613,down,1.8533180911642213,sell
1.82962785496866,2668,down,10.06215596489748,sell
-1.9667957497154243,4952,neutral,3.30358026846819,sell
2.369803307318681,2520,down,1.8587074046324843,sell
2.133771108758961,2535,down,9.228679894540132,sell
4.135042802791537,3349,up,9.310577650303175,buy
2.314979096038759,4447,neutral,1.2291598015185696,buy
1.5675034392529505,2894,neutral,0.9038117505211282,buy
1.4103371891748115,2456,down,9.129401943165803,sell
3.508400556793652,2735,up,9.08683786836696,buy
1.8615765898923302,4880,neutral,1.7567377097176613,buy
1.5462302365264695,2647,neutral,0.8923639823269202,buy
1.5877688789781157,2872,neutral,0.7355703746569545,buy
1.9175164404341034,1048,up,5.3430713021892196,buy
2.450508679700575,519,up,4.9443179423802945,buy
2.1791656017237044,2253,down,9.332682818248557,sell
2.4471642788094714,5085,neutral,1.7685077351404477,buy
1.5367726749783872,4765,neutral,1.5338155143785484,buy
2.278726304799324,1300,up,4.989581971728532,buy
-4.043876118307286,1902,up,6.452911273075871,buy
1.7959862962830204,635,up,5.111841283591621,buy
-2.028248455677038,4243,neutral,2.4650705660170664,sell
2.225220877411774,3063,down,1.3369269373737511,sell
2.2538935935032067,2695,down,1.1964529207499515,sell
2.0292516646619663,2860,down,9.447110630863037,sell
1.8497996725167458,795,up,5.2475651688806595,buy
-3.7919980596658505,2159,up,6.532647763727768,buy
1.0358880453871593,2853,neutral,0.9585747904377676,buy
3.137779310381098,2265,down,1.787743405437317,sell
2.528329352055147,614,up,5.260598453663359,buy
-3.986244606101736,2104,up,6.3737545321349875,buy
2.02512228756253,5145,neutral,1.6397478116879598,buy
-2.544529830110749,4901,neutral,3.124654733503286,sell
1.8524793796918049,3158,down,2.3130082112292167,sell
2.65332447581599,1170,up,5.7524561735950765,buy
1.0681616050762366,2728,down,2.504974490940291,sell
2.0278969470629447,2967,down,9.797839035220056,sell
1.1612566881292756,2549,neutral,0.9698018407522357,buy
1.4224300882694187,2888,down,2.501514573313891,sell
1.0682899380249369,2836,down,2.8846084790983464,sell
2.387222438752639,638,up,4.895521330686982,buy
1.5429120283646325,5244,neutral,1.5269059364089046,buy
3.675164784503449,3515,up,9.965438518522477,buy
3.5375551978045374,2698,up,9.848487638508095,buy
